gouvernorat,variable,n,biais,mae,sigma,mae_sur_sigma
Gabes,direct_radiation,1872,17.581244947453516,32.45432497978982,267.7208100015201,0.12122451362524096
Gabes,temperature_2m,1872,-0.16459175424413897,0.7545675020210185,4.93434913128687,0.1529213847549998
Gabes,direct_normal_irradiance,1872,28.327243330638645,50.35165723524656,308.28599269511346,0.16332774900039976
Gabes,apparent_temperature,1872,0.6838318512530316,0.970331447049313,5.570117731164446,0.1742030409196509
Gabes,diffuse_radiation,1872,-10.575586095392078,18.08730800323363,99.8523210262207,0.18114058659171275
Gabes,cloud_cover_high,1872,-1.0856911883589329,8.909458367016976,36.82632096001984,0.2419318067826935
Gabes,wind_direction_100m,1872,-0.3055780113177041,13.708973322554568,53.48591607686463,0.25630996583948185
Gabes,vapour_pressure_deficit,1872,-0.2254163298302344,0.32586903799514955,1.1777842881707272,0.2766797292747658
Gabes,wind_direction_10m,1872,1.303152789005659,17.767178658043655,59.3965005414034,0.2991283745017726
Gabes,relative_humidity_2m,1872,4.19967663702506,6.482619240097009,19.142641054874115,0.33864811138201845
Gabes,wind_speed_100m,1872,0.017057396928051687,2.600404203718674,7.127563709650403,0.36483773553617527
Gabes,dew_point_2m,1872,1.267744543249798,1.6187550525464836,4.091182350378279,0.39566925008776743
Gabes,cloud_cover,1872,7.726758286176233,15.317704122877931,37.094257839342944,0.4129400347951335
Gabes,wind_speed_10m,1872,-1.458447857720291,2.2500404203718674,5.0610891032111285,0.4445763302100877
Gabes,cloud_cover_mid,1872,6.541632983023444,8.425222312045271,17.627656513099364,0.47795475852302705
Gabes,wind_gusts_10m,1872,-4.894179466451091,5.403476151980598,11.057081371427383,0.48868919115886467
Gabes,surface_pressure,1872,-2.2719482619240092,2.2719482619240092,3.9647299451233806,0.5730398522397487
Gabes,cloud_cover_low,1872,5.693613581244947,5.795472918350849,4.931367130782649,1.1752264158501333
Gabes,snowfall,1872,0.0,0.0,0.0,
Gafsa,soil_temperature_7_to_28cm,1872,0.0,0.0,4.273818704220011,0.0
Gafsa,soil_temperature_28_to_100cm,1872,0.0,0.0,3.5365489234619853,0.0
Gafsa,soil_moisture_28_to_100cm,1872,0.0,0.0,0.0007521790777101767,0.0
Gafsa,soil_moisture_7_to_28cm,1872,0.0,0.0,0.001624713872456985,0.0
Gafsa,soil_moisture_0_to_7cm,1872,0.0,0.0,0.026115116573269797,0.0
Gafsa,soil_temperature_0_to_7cm,1872,0.0,0.0,7.837165341127812,0.0
Gafsa,terrestrial_radiation,1872,0.007745726495727177,0.13477564102564035,501.77583431098816,0.0002685973134013261
Gafsa,rain,1872,-0.005335489086499596,0.005335489086499596,0.17280636277802008,0.03087553606665135
Gafsa,precipitation,1872,-0.0018593371059013744,0.0068714632174616,0.17280636277802008,0.039763947964626734
Gafsa,shortwave_radiation,1872,4.180274858528699,18.535974130962003,353.3222856028153,0.05246194448034077
Gafsa,pressure_msl,1872,-0.17704122877930367,0.36911883589329125,3.9680210652439953,0.09302340633380533
Gafsa,temperature_2m,1872,-0.24801940177849632,0.679547291835085,6.308833908783438,0.10771361263592455
Gafsa,direct_radiation,1872,9.585286984640259,33.52061438965239,270.0917631831951,0.12410824378571059
Gafsa,apparent_temperature,1872,0.12772837510105092,0.8200485044462409,6.541107491612702,0.12536844953209275
Gafsa,et0_fao_evapotranspiration,1872,-0.011131770412287793,0.036402586903799515,0.2626199351009283,0.1386131897786416
Gafsa,direct_normal_irradiance,1872,15.824575586095389,50.79757477768796,311.214460892875,0.16322369671367326
Gafsa,vapour_pressure_deficit,1872,-0.11463217461600647,0.2559741309620049,1.5483468753431815,0.165320920678882
Gafsa,diffuse_radiation,1872,-5.4050121261115605,16.632174616006466,98.41983521703925,0.16899209980720398
Gafsa,relative_humidity_2m,1872,1.9143088116410671,4.260307194826193,19.306334961509762,0.22066887388620315
Gafsa,cloud_cover_high,1872,0.6863379143088116,10.51818916734034,36.4679966353129,0.288422456339576
Gafsa,surface_pressure,1872,-1.1910266774454346,1.191188358932904,3.7657447533609285,0.3163221187176236
Gafsa,dew_point_2m,1872,0.6720291026677446,1.4896523848019403,4.051973970281777,0.3676362177366971
Gafsa,cloud_cover_low,1872,1.1269199676637025,1.1269199676637025,2.7089825433658037,0.41599380934494656
Gafsa,wind_direction_100m,1872,4.511721907841552,33.601455133387226,78.24937390554504,0.4294150030382045
Gafsa,wind_direction_10m,1872,6.101859337105902,36.381568310428456,81.70833010857699,0.4452614349367232
Gafsa,wind_speed_100m,1872,-0.31883589329021833,4.101050929668553,8.462530930814212,0.4846128142037969
Gafsa,cloud_cover,1872,11.841552142279708,18.784155214227972,36.97994170815574,0.5079552413162733
Gafsa,wind_speed_10m,1872,-0.9529506871463217,3.144058205335489,5.650025784469374,0.5564679393106106
Gafsa,wind_gusts_10m,1872,-4.008569118835894,6.044462409054163,10.715869457240107,0.5640664467940361
Gafsa,cloud_cover_mid,1872,13.857720291026677,16.735650767987064,19.86266752183646,0.8425681369125451
Gafsa,snowfall,1872,0.0,0.0,0.0,
Jendouba,soil_temperature_7_to_28cm,1872,0.0,0.0,4.675893978418688,0.0
Jendouba,soil_temperature_28_to_100cm,1872,0.0,0.0,3.665604673021176,0.0
Jendouba,soil_moisture_0_to_7cm,1872,0.0,0.0,0.030981670179619607,0.0
Jendouba,soil_moisture_28_to_100cm,1872,0.0,0.0,0.02409415198912023,0.0
Jendouba,soil_temperature_0_to_7cm,1872,0.0,0.0,7.140817174524836,0.0
Jendouba,terrestrial_radiation,1872,0.00016025641025572648,0.08969017094016998,497.05956901392113,0.00018044149339705806
Jendouba,soil_moisture_7_to_28cm,1872,-1.7021276595744696e-05,1.7021276595744696e-05,0.026107456043143008,0.0006519699417521475
Jendouba,rain,1872,-0.0042845594179466455,0.0042845594179466455,0.11997752259713068,0.035711350969745
Jendouba,shortwave_radiation,1872,2.1996766370250604,18.154405820533547,341.70560572177334,0.05312879132370861
Jendouba,et0_fao_evapotranspiration,1872,0.010557801131770413,0.0259983831851253,0.2680930635254084,0.09697521764736489
Jendouba,pressure_msl,1872,-0.2092158447857696,0.4027485852869821,4.085534984746889,0.09857915469837386
Jendouba,direct_radiation,1872,4.135812449474535,29.320937752627323,266.1345927431168,0.11017334293302113
Jendouba,precipitation,1872,0.00856911883589329,0.014389652384801941,0.11997752259713068,0.11993623533235113
Jendouba,surface_pressure,1872,0.4345189975747781,0.5127728375101067,3.951176954134803,0.1297772394054646
Jendouba,direct_normal_irradiance,1872,7.10436540016168,43.6877122069523,311.0248047031934,0.14046375577228595
Jendouba,diffuse_radiation,1872,-1.9361358124494745,12.89167340339531,91.33104234666347,0.14115324945556448
Jendouba,vapour_pressure_deficit,1872,-0.004349232012934515,0.26818108326596607,1.6914364288321615,0.15855226876668935
Jendouba,temperature_2m,1872,-0.7063864187550526,1.2596604688763138,7.0927596920682,0.17759807515895204
Jendouba,relative_humidity_2m,1872,0.3144704931285368,4.673403395311237,23.191917896297163,0.20151000086359375
Jendouba,apparent_temperature,1872,-1.0680679062247374,1.5364591754244141,7.106763845520723,0.21619674001026773
Jendouba,cloud_cover_high,1872,1.740501212611156,10.327405012126112,35.83454563076834,0.28819690135149284
Jendouba,cloud_cover_low,1872,2.309620048504446,2.6038803556992725,8.395999745745128,0.31013344861269804
Jendouba,dew_point_2m,1872,-0.7157639450282942,1.4879547291835085,3.7109779546737602,0.40096027175518956
Jendouba,wind_speed_10m,1872,0.870250606305578,2.3464025869037997,5.518511540994009,0.4251875835492335
Jendouba,wind_gusts_10m,1872,-1.274858528698464,4.726111560226354,10.979113565598324,0.4304638559377901
Jendouba,wind_speed_100m,1872,1.331285367825384,3.373322554567502,7.722148801166427,0.4368372899079545
Jendouba,wind_direction_100m,1872,5.120452708164915,54.46725949878739,121.3059712988536,0.44900724107471973
Jendouba,cloud_cover,1872,9.929668552950687,16.833468067906225,36.41762847819757,0.4622340545316961
Jendouba,wind_direction_10m,1872,0.7122069523039612,57.73726758286176,118.33901762888019,0.4878971343494675
Jendouba,cloud_cover_mid,1872,10.417946645109135,12.249797898140663,18.35980103593775,0.6672075516593412
Jendouba,snowfall,1872,0.0,0.0,0.0,
Kairouan,soil_temperature_7_to_28cm,1872,0.0,0.0,3.890096060783309,0.0
Kairouan,soil_temperature_28_to_100cm,1872,0.0,0.0,3.4560394598286837,0.0
Kairouan,soil_moisture_28_to_100cm,1872,0.0,0.0,0.04344011691013603,0.0
Kairouan,soil_moisture_7_to_28cm,1872,0.0,0.0,0.011457665436849016,0.0
Kairouan,soil_moisture_0_to_7cm,1872,0.0,0.0,0.014504543219121022,0.0
Kairouan,soil_temperature_0_to_7cm,1872,0.0,0.0,6.2211552033955275,0.0
Kairouan,terrestrial_radiation,1872,0.0018162393162403033,0.1073717948717942,499.02634734506023,0.00021516257697221376
Kairouan,shortwave_radiation,1872,2.4858528698464024,15.130962004850444,349.234635249259,0.04332606356196897
Kairouan,rain,1872,-0.016410670978173,0.017380759902991108,0.2236568377663347,0.07771173050899362
Kairouan,precipitation,1872,0.0007275666936135815,0.01948261924009701,0.2236568377663347,0.0871094281519417
Kairouan,direct_radiation,1872,4.6265157639450285,25.226354082457558,273.24929603433486,0.09231992341267649
Kairouan,surface_pressure,1872,-0.2844785772029087,0.3622473726758282,3.8621848155625775,0.09379338120127277
Kairouan,pressure_msl,1872,-0.29434114793855976,0.3727566693613572,3.921342782546516,0.09505842514468714
Kairouan,temperature_2m,1872,0.34907033144704935,0.7149555375909458,6.2444808558005835,0.11449399143033864
Kairouan,et0_fao_evapotranspiration,1872,0.013759094583670169,0.031398544866612775,0.26645858598221994,0.11783649136645916
Kairouan,direct_normal_irradiance,1872,5.76443007275667,37.79450282942603,316.49709516928704,0.11941500698200916
Kairouan,apparent_temperature,1872,0.24591754244139055,0.7932093775262731,6.487055715316325,0.12227571526069346
Kairouan,diffuse_radiation,1872,-2.1406628940986256,11.893290218270009,89.659322232729,0.13264978947084338
Kairouan,vapour_pressure_deficit,1872,0.09628132578819724,0.24345998383185122,1.5117688813705703,0.16104312427117184
Kairouan,cloud_cover_low,1872,1.4801940177849635,1.5319320937752627,8.1874091911703,0.18710828517369973
Kairouan,relative_humidity_2m,1872,-0.2651576394502829,4.069523039611965,21.006566096901437,0.19372623877884723
Kairouan,cloud_cover_high,1872,0.7170573969280517,10.58447857720291,34.83878668734723,0.3038130653685189
Kairouan,dew_point_2m,1872,0.05060630557801133,1.2751818916734035,3.8269041892694147,0.3332150031999744
Kairouan,wind_gusts_10m,1872,-2.7439773645917542,4.956750202101859,11.832962417429837,0.41889342898618653
Kairouan,cloud_cover,1872,7.443007275666936,15.289409862570736,36.198356460802856,0.4223785651463698
Kairouan,wind_direction_10m,1872,-1.0525464834276475,50.89409862570736,116.71132221336934,0.4360682208077788
Kairouan,wind_direction_100m,1872,-7.349232012934519,51.52869846402587,117.30490040497827,0.4392714906720049
Kairouan,wind_speed_100m,1872,1.8807599029911075,3.7540016168148744,8.08390766553934,0.46437957633010846
Kairouan,wind_speed_10m,1872,0.9344381568310429,2.952384801940178,5.516850761504127,0.5351576342324752
Kairouan,cloud_cover_mid,1872,8.3839935327405,10.849636216653193,20.01148442922027,0.5421704849046992
Kairouan,snowfall,1872,0.0,0.0,0.0,
Kasserine,soil_moisture_7_to_28cm,1872,0.0,0.0,0.02000371398932639,0.0
Kasserine,soil_moisture_28_to_100cm,1872,0.0,0.0,0.008493011266820168,0.0
Kasserine,soil_moisture_0_to_7cm,1872,0.0,0.0,0.06094575115139337,0.0
Kasserine,terrestrial_radiation,1872,0.00010683760683708574,0.19123931623931695,500.13143792080035,0.0003823781145099724
Kasserine,soil_temperature_0_to_7cm,1872,0.2522553191489361,0.2522553191489361,6.336588471231958,0.0398093264686783
Kasserine,soil_temperature_7_to_28cm,1872,0.24919148936170205,0.24919148936170205,3.9215721262710383,0.06354377309353591
Kasserine,shortwave_radiation,1872,-2.7970897332255458,22.3589329021827,350.9816332396646,0.06370399697500727
Kasserine,soil_temperature_28_to_100cm,1872,0.25251063829787207,0.25251063829787207,3.3480983957070847,0.07541912108128004
Kasserine,rain,1872,-0.04616006467259498,0.04616006467259498,0.4298077531780305,0.10739700326781923
Kasserine,precipitation,1872,-0.038561034761519807,0.047938561034761525,0.4298077531780305,0.11153489130966168
Kasserine,et0_fao_evapotranspiration,1872,0.01122069523039612,0.032255456750202104,0.2667302357455797,0.12092913523673009
Kasserine,direct_radiation,1872,-2.1778496362166533,34.708164915117216,275.1011162874238,0.12616511842450817
Kasserine,temperature_2m,1872,0.12538399353274052,0.9200485044462409,6.527004919900535,0.14096028970976499
Kasserine,apparent_temperature,1872,-0.18253839935327407,0.9751010509296684,6.475266491609062,0.15058855912621474
Kasserine,diffuse_radiation,1872,-0.6192400970088925,15.265966046887632,93.7063110783403,0.16291289104449952
Kasserine,direct_normal_irradiance,1872,-0.48035569927243466,52.686661277283754,320.4253406412929,0.16442726150134604
Kasserine,pressure_msl,1872,-0.5401778496362151,0.6683912691996761,3.953202888564724,0.16907588303476795
Kasserine,vapour_pressure_deficit,1872,0.041535974130962015,0.2681002425222312,1.4462768178144307,0.1853727026665449
Kasserine,cloud_cover_low,1872,2.2603071948261926,2.3039611964430073,9.847558062900626,0.23396269224579408
Kasserine,relative_humidity_2m,1872,-0.423605497170574,5.93856103476152,22.622301016725775,0.26250915105279743
Kasserine,cloud_cover_high,1872,0.13257881972514146,12.321746160064672,36.15157635203866,0.34083565375067865
Kasserine,dew_point_2m,1872,0.05448666127728373,1.5935327405012125,4.288841674217904,0.37155317485386136
Kasserine,wind_direction_100m,1872,-4.2457558609539205,48.41875505254648,109.21673608126197,0.44332724809246116
Kasserine,wind_direction_10m,1872,3.6071139854486662,52.438156831042846,107.17754552280341,0.48926439372401886
Kasserine,cloud_cover,1872,10.594179466451092,18.67178658043654,37.617545707442844,0.4963584473492703
Kasserine,wind_gusts_10m,1872,-3.3380759902991106,6.042360549717057,11.82854330513339,0.5108287972446086
Kasserine,wind_speed_100m,1872,1.4994341147938561,3.9141471301535966,7.209951484840948,0.5428812022359875
